State,County_FIPS,County,Area (sqmi),FIPS
AL,001,Autauga County,594.44,01001
AL,003,Baldwin County,1589.78,01003
AL,005,Barbour County,884.88,01005
AL,007,Bibb County,622.58,01007
AL,009,Blount County,644.78,01009
AL,011,Bullock County,622.8,01011
AL,013,Butler County,776.83,01013
AL,015,Calhoun County,605.87,01015
AL,017,Chambers County,596.53,01017
AL,019,Cherokee County,553.7,01019
AL,021,Chilton County,692.85,01021
AL,023,Choctaw County,913.5,01023
AL,025,Clarke County,1238.46,01025
AL,027,Clay County,603.96,01027
AL,029,Cleburne County,560.1,01029
AL,031,Coffee County,678.97,01031
AL,033,Colbert County,592.62,01033
AL,035,Conecuh County,850.16,01035
AL,037,Coosa County,650.93,01037
AL,039,Covington County,1030.46,01039
AL,041,Crenshaw County,608.84,01041
AL,043,Cullman County,734.84,01043
AL,045,Dale County,561.15,01045
AL,047,Dallas County,978.69,01047
AL,049,DeKalb County,777.09,01049
AL,051,Elmore County,618.48,01051
AL,053,Escambia County,945.08,01053
AL,055,Etowah County,534.99,01055
AL,057,Fayette County,627.66,01057
AL,059,Franklin County,633.82,01059
AL,061,Geneva County,574.41,01061
AL,063,Greene County,647.11,01063
AL,065,Hale County,643.94,01065
AL,067,Henry County,561.75,01067
AL,069,Houston County,579.82,01069
AL,071,Jackson County,1077.87,01071
AL,073,Jefferson County,1111.28,01073
AL,075,Lamar County,604.85,01075
AL,077,Lauderdale County,667.7,01077
AL,079,Lawrence County,690.68,01079
AL,081,Lee County,607.54,01081
AL,083,Limestone County,559.94,01083
AL,085,Lowndes County,715.91,01085
AL,087,Macon County,608.89,01087
AL,089,Madison County,801.59,01089
AL,091,Marengo County,976.88,01091
AL,093,Marion County,742.29,01093
AL,095,Marshall County,565.84,01095
AL,097,Mobile County,1229.44,01097
AL,099,Monroe County,1025.67,01099
AL,101,Montgomery County,784.25,01101
AL,103,Morgan County,579.34,01103
AL,105,Perry County,719.66,01105
AL,107,Pickens County,881.41,01107
AL,109,Pike County,672.09,01109
AL,111,Randolph County,580.55,01111
AL,113,Russell County,641.14,01113
AL,115,St. Clair County,631.9,01115
AL,117,Shelby County,784.93,01117
AL,119,Sumter County,903.89,01119
AL,121,Talladega County,736.78,01121
AL,123,Tallapoosa County,716.52,01123
AL,125,Tuscaloosa County,1321.75,01125
AL,127,Walker County,791.19,01127
AL,129,Washington County,1080.21,01129
AL,131,Wilcox County,888.5,01131
AL,133,Winston County,612.98,01133
AK,013,Aleutians East Borough,6985.0,02013
AK,020,Anchorage,1707.0,02020
AK,060,Bristol Bay Borough,482.0,02060
AK,068,Denali Borough,12637.0,02068
AK,090,Fairbanks North Star Borough,7335.0,02090
AK,100,Haines Borough,2345.0,02100
AK,110,Juneau,2704.0,02110
AK,122,Kenai Peninsula Borough,16023.0,02122
AK,130,Ketchikan Gateway Borough,4857.0,02130
AK,150,Kodiak Island Borough,6615.0,02150
AK,164,Lake and Peninsula Borough,23905.0,02164
AK,170,Matanuska-Susitna Borough,24715.0,02170
AK,185,North Slope Borough,88824.0,02185
AK,188,Northwest Arctic Borough,35664.0,02188
AK,195,Petersburg Borough,2901.0,02195
AK,220,Sitka,2870.0,02220
AK,230,Skagway,434.0,02230
AK,,Unorganized Borough,295153.0,
AK,275,Wrangell,2556.0,02275
AK,282,Yakutat,7623.0,02282
AZ,001,Apache County,11218.0,04001
AZ,003,Cochise County,6219.0,04003
AZ,005,Coconino County,18661.0,04005
AZ,007,Gila County,4796.0,04007
AZ,009,Graham County,4641.0,04009
AZ,011,Greenlee County,1848.0,04011
AZ,012,La Paz County,4513.0,04012
AZ,013,Maricopa County,9224.0,04013
AZ,015,Mohave County,13470.0,04015
AZ,017,Navajo County,9959.0,04017
AZ,019,Pima County,9189.0,04019
AZ,021,Pinal County,5374.0,04021
AZ,023,Santa Cruz County,1238.0,04023
AZ,025,Yavapai County,8128.0,04025
AZ,027,Yuma County,5519.0,04027
AR,001,Arkansas County,1033.79,05001
AR,003,Ashley County,939.08,05003
AR,005,Baxter County,586.74,05005
AR,007,Benton County,884.86,05007
AR,009,Boone County,601.82,05009
AR,011,Bradley County,654.38,05011
AR,013,Calhoun County,632.54,05013
AR,015,Carroll County,638.81,05015
AR,017,Chicot County,690.88,05017
AR,019,Clark County,882.6,05019
AR,021,Clay County,641.42,05021
AR,023,Cleburne County,591.91,05023
AR,025,Cleveland County,598.8,05025
AR,027,Columbia County,766.86,05027
AR,029,Conway County,566.66,05029
AR,031,Craighead County,712.98,05031
AR,033,Crawford County,604.2,05033
AR,035,Crittenden County,636.74,05035
AR,037,Cross County,622.33,05037
AR,039,Dallas County,668.16,05039
AR,041,Desha County,819.52,05041
AR,043,Drew County,835.65,05043
AR,045,Faulkner County,664.01,05045
AR,047,Franklin County,619.69,05047
AR,049,Fulton County,620.32,05049
AR,051,Garland County,734.57,05051
AR,053,Grant County,633.01,05053
AR,055,Greene County,579.65,05055
AR,057,Hempstead County,741.36,05057
AR,059,Hot Spring County,622.16,05059
AR,061,Howard County,595.2,05061
AR,063,Independence County,771.57,05063
AR,065,Izard County,584.02,05065
AR,067,Jackson County,641.45,05067
AR,069,Jefferson County,913.7,05069
AR,071,Johnson County,682.74,05071
AR,073,Lafayette County,545.07,05073
AR,075,Lawrence County,592.34,05075
AR,077,Lee County,619.47,05077
AR,079,Lincoln County,572.17,05079
AR,081,Little River County,564.87,05081
AR,083,Logan County,731.5,05083
AR,085,Lonoke County,802.43,05085
AR,087,Madison County,837.06,05087
AR,089,Marion County,640.39,05089
AR,091,Miller County,637.48,05091
AR,093,Mississippi County,919.73,05093
AR,095,Monroe County,621.41,05095
AR,097,Montgomery County,800.29,05097
AR,099,Nevada County,620.78,05099
AR,101,Newton County,823.18,05101
AR,103,Ouachita County,739.63,05103
AR,105,Perry County,560.47,05105
AR,107,Phillips County,727.29,05107
AR,109,Pike County,613.88,05109
AR,111,Poinsett County,763.39,05111
AR,113,Polk County,862.42,05113
AR,115,Pope County,830.79,05115
AR,117,Prairie County,675.76,05117
AR,119,Pulaski County,807.84,05119
AR,121,Randolph County,656.04,05121
AR,123,St. Francis County,642.4,05123
AR,125,Saline County,730.46,05125
AR,127,Scott County,898.09,05127
AR,129,Searcy County,668.51,05129
AR,131,Sebastian County,546.04,05131
AR,133,Sevier County,581.35,05133
AR,135,Sharp County,606.35,05135
AR,137,Stone County,609.43,05137
AR,139,Union County,1055.27,05139
AR,141,Van Buren County,724.32,05141
AR,143,Washington County,951.72,05143
AR,145,White County,1042.36,05145
AR,147,Woodruff County,594.05,05147
AR,149,Yell County,948.84,05149
CA,001,Alameda County,738.0,06001
CA,003,Alpine County,739.0,06003
CA,005,Amador County,606.0,06005
CA,007,Butte County,1640.0,06007
CA,009,Calaveras County,1020.0,06009
CA,011,Colusa County,1151.0,06011
CA,013,Contra Costa County,720.0,06013
CA,015,Del Norte County,1008.0,06015
CA,017,El Dorado County,1712.0,06017
CA,019,Fresno County,5963.0,06019
CA,021,Glenn County,1315.0,06021
CA,023,Humboldt County,3573.0,06023
CA,025,Imperial County,4175.0,06025
CA,027,Inyo County,10192.0,06027
CA,029,Kern County,8142.0,06029
CA,031,Kings County,1390.0,06031
CA,033,Lake County,1258.0,06033
CA,035,Lassen County,4558.0,06035
CA,037,Los Angeles County,4060.0,06037
CA,039,Madera County,2138.0,06039
CA,041,Marin County,520.0,06041
CA,043,Mariposa County,1451.0,06043
CA,045,Mendocino County,3509.0,06045
CA,047,Merced County,1929.0,06047
CA,049,Modoc County,3944.0,06049
CA,051,Mono County,3044.0,06051
CA,053,Monterey County,3322.0,06053
CA,055,Napa County,754.0,06055
CA,057,Nevada County,958.0,06057
CA,059,Orange County,948.0,06059
CA,061,Placer County,1407.0,06061
CA,063,Plumas County,2554.0,06063
CA,065,Riverside County,7208.0,06065
CA,067,Sacramento County,966.0,06067
CA,069,San Benito County,1389.0,06069
CA,071,San Bernardino County,20062.0,06071
CA,073,San Diego County,4204.0,06073
CA,075,San Francisco,47.0,06075
CA,077,San Joaquin County,1399.0,06077
CA,079,San Luis Obispo County,3304.0,06079
CA,081,San Mateo County,449.0,06081
CA,083,Santa Barbara County,2738.0,06083
CA,085,Santa Clara County,1291.0,06085
CA,087,Santa Cruz County,446.0,06087
CA,089,Shasta County,3786.0,06089
CA,091,Sierra County,953.0,06091
CA,093,Siskiyou County,6287.0,06093
CA,095,Solano County,828.0,06095
CA,097,Sonoma County,1576.0,06097
CA,099,Stanislaus County,1495.0,06099
CA,101,Sutter County,603.0,06101
CA,103,Tehama County,2951.0,06103
CA,105,Trinity County,3179.0,06105
CA,107,Tulare County,4824.0,06107
CA,109,Tuolumne County,2236.0,06109
CA,111,Ventura County,1846.0,06111
CA,113,Yolo County,1012.0,06113
CA,115,Yuba County,630.0,06115
CO,001,Adams County,1182.29,08001
CO,003,Alamosa County,723.21,08003
CO,005,Arapahoe County,804.41,08005
CO,007,Archuleta County,1354.53,08007
CO,009,Baca County,2558.48,08009
CO,011,Bent County,1541.07,08011
CO,013,Boulder County,740.48,08013
CO,014,City and County of Broomfield,33.57,08014
CO,015,Chaffee County,1014.12,08015
CO,017,Cheyenne County,1781.9,08017
CO,019,Clear Creek County,396.53,08019
CO,021,Conejos County,1290.22,08021
CO,023,Costilla County,1229.38,08023
CO,025,Crowley County,800.27,08025
CO,027,Custer County,739.24,08027
CO,029,Delta County,1149.44,08029
CO,031,City and County of Denver,155.66,08031
CO,033,Dolores County,1076.93,08033
CO,035,Douglas County,842.3,08035
CO,037,Eagle County,1700.76,08037
CO,041,El Paso County,2128.6,08041
CO,039,Elbert County,1849.08,08039
CO,043,Fremont County,1533.09,08043
CO,045,Garfield County,2958.23,08045
CO,047,Gilpin County,150.15,08047
CO,049,Grand County,1868.53,08049
CO,051,Gunnison County,3259.22,08051
CO,053,Hinsdale County,1123.35,08053
CO,055,Huerfano County,1592.37,08055
CO,057,Jackson County,1619.75,08057
CO,059,Jefferson County,772.85,08059
CO,061,Kiowa County,1785.9,08061
CO,063,Kit Carson County,2162.43,08063
CO,067,La Plata County,1700.44,08067
CO,065,Lake County,383.55,08065
CO,069,Larimer County,2631.75,08069
CO,071,Las Animas County,4773.27,08071
CO,073,Lincoln County,2585.21,08073
CO,075,Logan County,1845.31,08075
CO,077,Mesa County,3345.69,08077
CO,079,Mineral County,878.16,08079
CO,081,Moffat County,4755.86,08081
CO,083,Montezuma County,2035.8,08083
CO,085,Montrose County,2246.43,08085
CO,087,Morgan County,1293.83,08087
CO,089,Otero County,1267.66,08089
CO,091,Ouray County,542.3,08091
CO,093,Park County,2209.36,08093
CO,095,Phillips County,688.3,08095
CO,097,Pitkin County,970.37,08097
CO,099,Prowers County,1645.37,08099
CO,101,Pueblo County,2396.77,08101
CO,103,Rio Blanco County,3226.24,08103
CO,105,Rio Grande County,913.1,08105
CO,107,Routt County,2362.11,08107
CO,109,Saguache County,3168.32,08109
CO,111,San Juan County,388.99,08111
CO,113,San Miguel County,1290.76,08113
CO,115,Sedgwick County,548.83,08115
CO,117,Summit County,618.92,08117
CO,119,Teller County,558.58,08119
CO,121,Washington County,2522.9,08121
CO,123,Weld County,4013.84,08123
CO,125,Yuma County,2369.61,08125
CT,001,Fairfield County,626.0,09001
CT,003,Hartford County,736.0,09003
CT,005,Litchfield County,920.0,09005
CT,007,Middlesex County,369.0,09007
CT,009,New Haven County,606.0,09009
CT,011,New London County,666.0,09011
CT,013,Tolland County,410.0,09013
CT,015,Windham County,513.0,09015
DE,001,Kent County,800.0,10001
DE,003,New Castle County,494.0,10003
DE,005,Sussex County,1196.0,10005
DC,11001,District of Columbia,61.05,11001
FL,001,Alachua County,874.0,12001
FL,003,Baker County,585.0,12003
FL,005,Bay County,764.0,12005
FL,007,Bradford County,293.0,12007
FL,009,Brevard County,1018.0,12009
FL,011,Broward County,1209.0,12011
FL,013,Calhoun County,567.0,12013
FL,015,Charlotte County,694.0,12015
FL,017,Citrus County,584.0,12017
FL,019,Clay County,601.0,12019
FL,021,Collier County,2026.0,12021
FL,023,Columbia County,797.0,12023
FL,027,DeSoto County,637.0,12027
FL,029,Dixie County,704.0,12029
FL,031,Duval County,774.0,12031
FL,033,Escambia County,664.0,12033
FL,035,Flagler County,485.0,12035
FL,037,Franklin County,534.0,12037
FL,039,Gadsden County,516.0,12039
FL,041,Gilchrist County,349.0,12041
FL,043,Glades County,774.0,12043
FL,045,Gulf County,565.0,12045
FL,047,Hamilton County,515.0,12047
FL,049,Hardee County,637.0,12049
FL,051,Hendry County,1153.0,12051
FL,053,Hernando County,478.0,12053
FL,055,Highlands County,1028.0,12055
FL,057,Hillsborough County,1051.0,12057
FL,059,Holmes County,482.0,12059
FL,061,Indian River County,503.0,12061
FL,063,Jackson County,916.0,12063
FL,065,Jefferson County,598.0,12065
FL,067,Lafayette County,543.0,12067
FL,069,Lake County,953.0,12069
FL,071,Lee County,804.0,12071
FL,073,Leon County,667.0,12073
FL,075,Levy County,1118.0,12075
FL,077,Liberty County,836.0,12077
FL,079,Madison County,692.0,12079
FL,081,Manatee County,741.0,12081
FL,083,Marion County,1579.0,12083
FL,085,Martin County,556.0,12085
FL,086,Miami-Dade County,1946.0,12086
FL,087,Monroe County,997.0,12087
FL,089,Nassau County,652.0,12089
FL,091,Okaloosa County,936.0,12091
