location_name,State_Abr,State_fip,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
Alabama,AL,01,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30
Alaska,AK,02,2020-03-28,,2020-03-28,2020-04-24,2020-03-16,,2020-03-24,2020-05-22,2020-03-17,2020-05-22,2020-03-28,2020-04-24
Arizona,AZ,04,,,2020-03-30,2020-05-16,2020-03-16,,2020-03-30,2020-05-16,2020-03-30,2020-05-16,,
Arkansas,AR,05,,,,,2020-03-17,,2020-03-27,,2020-03-19,,,
California,CA,06,,,2020-03-19,,2020-03-19,,2020-03-11,,2020-03-19,,2020-03-19,
Colorado,CO,08,,,2020-03-26,2020-05-09,2020-03-23,,2020-03-19,,2020-03-17,,2020-03-26,2020-05-09
Connecticut,CT,09,,,,,2020-03-17,,2020-03-12,,2020-03-16,,2020-03-23,2020-05-20
Delaware,DE,10,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-24,2020-05-08
District of Columbia,DC,11,,,2020-03-30,2020-05-29,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-25,2020-05-29
Florida,FL,12,,,2020-04-03,2020-05-18,2020-03-17,,2020-04-03,2020-06-05,2020-03-17,,,
Georgia,GA,13,,,2020-04-03,,2020-03-18,,2020-03-24,,2020-03-24,,,
Hawaii,HI,15,,,2020-03-25,,2020-03-19,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-01
Idaho,ID,16,,,2020-03-25,2020-05-01,2020-03-23,,2020-03-25,2020-05-01,2020-03-25,,2020-03-25,2020-05-01
Illinois,IL,17,,,2020-03-21,,2020-03-17,,2020-03-13,,2020-03-16,,2020-03-21,2020-05-01
Indiana,IN,18,,,2020-03-25,2020-05-18,2020-03-19,,2020-03-12,,2020-03-16,,2020-03-24,2020-05-18
Iowa,IA,19,,,,,2020-04-04,,2020-03-17,2020-06-12,2020-03-17,,2020-03-17,2020-05-08
Kansas,KS,20,,,2020-03-30,2020-05-04,2020-03-17,,2020-03-17,,2020-03-30,,,
Kentucky,KY,21,,,,,2020-03-20,,2020-03-19,,2020-03-16,,2020-03-26,2020-05-11
Louisiana,LA,22,,,2020-03-23,2020-05-15,2020-03-16,,2020-03-13,2020-05-15,2020-03-17,,2020-03-22,2020-05-01
Maine,ME,23,,,2020-04-02,2020-05-31,2020-03-16,,2020-03-18,,2020-03-18,,2020-03-25,2020-05-01
Maryland,MD,24,,,2020-03-30,,2020-03-16,,2020-03-16,2020-06-10,2020-03-16,,2020-03-23,2020-05-15
Massachusetts,MA,25,,,,,2020-03-17,,2020-03-13,,2020-03-17,,2020-03-24,2020-05-18
Michigan,MI,26,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-23,2020-05-07
