,#_households,%_family_households,%_single_male_households,%_single_female_households,%_living_alone,county,state,state_FIPS,county_fips
"Washington County, Mississippi: Summary level: 050, state:28> county:151",18299,0.627192743,0.055686103,0.259139844,0.332859719,Washington,MS,28,28151
"Perry County, Mississippi: Summary level: 050, state:28> county:111",4563,0.697348236,0.038351961,0.154065308,0.27657243,Perry,MS,28,28111
"Choctaw County, Mississippi: Summary level: 050, state:28> county:019",3164,0.592288243,0.036978508,0.109355247,0.393489254,Choctaw,MS,28,28019
"Itawamba County, Mississippi: Summary level: 050, state:28> county:057",8706,0.702963473,0.05306685,0.138984608,0.257408684,Itawamba,MS,28,28057
"Carroll County, Mississippi: Summary level: 050, state:28> county:015",3658,0.718151996,0.032531438,0.094040459,0.262711864,Carroll,MS,28,28015
"Grenada County, Mississippi: Summary level: 050, state:28> county:043",8224,0.666585603,0.035262646,0.199537938,0.298151751,Grenada,MS,28,28043
"Jefferson County, Mississippi: Summary level: 050, state:28> county:063",2530,0.6256917,0.116600791,0.298023715,0.371936759,Jefferson,MS,28,28063
"Greene County, Mississippi: Summary level: 050, state:28> county:041",4172,0.646212848,0.043624161,0.058245446,0.295541707,Greene,MS,28,28041
"Marshall County, Mississippi: Summary level: 050, state:28> county:093",13074,0.689154046,0.054459232,0.164142573,0.27199021,Marshall,MS,28,28093
"Quitman County, Mississippi: Summary level: 050, state:28> county:119",3055,0.576432079,0.039607201,0.249427169,0.387234043,Quitman,MS,28,28119
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",12159,0.629492557,0.050662061,0.251912164,0.329138909,Bolivar,MS,28,28011
"Lamar County, Mississippi: Summary level: 050, state:28> county:073",22213,0.699680367,0.036330077,0.139467879,0.249403502,Lamar,MS,28,28073
"Lee County, Mississippi: Summary level: 050, state:28> county:081",32267,0.669972418,0.055319676,0.148727802,0.290637493,Lee,MS,28,28081
"Pike County, Mississippi: Summary level: 050, state:28> county:113",14676,0.621354593,0.03931589,0.195012265,0.356636686,Pike,MS,28,28113
"Tallahatchie County, Mississippi: Summary level: 050, state:28> county:135",4253,0.654831883,0.060663061,0.232541735,0.300023513,Tallahatchie,MS,28,28135
"Smith County, Mississippi: Summary level: 050, state:28> county:129",5872,0.714577657,0.036955041,0.112908719,0.267881471,Smith,MS,28,28129
"Stone County, Mississippi: Summary level: 050, state:28> county:131",6135,0.740668297,0.043846781,0.140505297,0.247595762,Stone,MS,28,28131
"Warren County, Mississippi: Summary level: 050, state:28> county:149",18766,0.635244591,0.034850261,0.179580092,0.331130768,Warren,MS,28,28149
"Clarke County, Mississippi: Summary level: 050, state:28> county:023",6258,0.686001918,0.021891978,0.167785235,0.289868968,Clarke,MS,28,28023
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",3710,0.594609164,0.080592992,0.209433962,0.366576819,Kemper,MS,28,28069
"Montgomery County, Mississippi: Summary level: 050, state:28> county:097",4619,0.710759905,0.054124269,0.234033341,0.269755358,Montgomery,MS,28,28097
"Oktibbeha County, Mississippi: Summary level: 050, state:28> county:105",17687,0.518459886,0.036637078,0.118165885,0.326058687,Oktibbeha,MS,28,28105
"Pearl River County, Mississippi: Summary level: 050, state:28> county:109",20752,0.714437163,0.040622591,0.128999614,0.259878566,Pearl River,MS,28,28109
"Leake County, Mississippi: Summary level: 050, state:28> county:079",8168,0.690009794,0.061704212,0.211924584,0.282321254,Leake,MS,28,28079
"Noxubee County, Mississippi: Summary level: 050, state:28> county:103",4020,0.669651741,0.034328358,0.241293532,0.31119403,Noxubee,MS,28,28103
"Neshoba County, Mississippi: Summary level: 050, state:28> county:099",10699,0.693990093,0.063557342,0.20095336,0.287129638,Neshoba,MS,28,28099
"Rankin County, Mississippi: Summary level: 050, state:28> county:121",55595,0.718266031,0.042054142,0.126486195,0.236514075,Rankin,MS,28,28121
"Tate County, Mississippi: Summary level: 050, state:28> county:137",10264,0.725448168,0.048226812,0.190861263,0.212685113,Tate,MS,28,28137
"Lawrence County, Mississippi: Summary level: 050, state:28> county:077",4793,0.70749009,0.051116211,0.159399124,0.266012936,Lawrence,MS,28,28077
"Panola County, Mississippi: Summary level: 050, state:28> county:107",12447,0.665140194,0.048847112,0.17707078,0.309954206,Panola,MS,28,28107
"Yalobusha County, Mississippi: Summary level: 050, state:28> county:161",5161,0.660143383,0.046502616,0.18310405,0.305560938,Yalobusha,MS,28,28161
"Chickasaw County, Mississippi: Summary level: 050, state:28> county:017",6426,0.68487395,0.066915655,0.188453159,0.297385621,Chickasaw,MS,28,28017
"Copiah County, Mississippi: Summary level: 050, state:28> county:029",9623,0.690533098,0.046555128,0.201392497,0.288891198,Copiah,MS,28,28029
"George County, Mississippi: Summary level: 050, state:28> county:039",7362,0.702933985,0.029339853,0.086525401,0.278864439,George,MS,28,28039
"Hinds County, Mississippi: Summary level: 050, state:28> county:049",88705,0.639580632,0.051101967,0.239715912,0.312203371,Hinds,MS,28,28049
"Newton County, Mississippi: Summary level: 050, state:28> county:101",8042,0.695846804,0.037552848,0.183412087,0.283014176,Newton,MS,28,28101
"Union County, Mississippi: Summary level: 050, state:28> county:145",9951,0.704853784,0.058587077,0.129434228,0.276354135,Union,MS,28,28145
"Sharkey County, Mississippi: Summary level: 050, state:28> county:125",1755,0.566381766,0.043304843,0.178917379,0.384045584,Sharkey,MS,28,28125
"Tippah County, Mississippi: Summary level: 050, state:28> county:139",7983,0.704121258,0.042214706,0.113365903,0.260052612,Tippah,MS,28,28139
"Forrest County, Mississippi: Summary level: 050, state:28> county:035",28033,0.614704099,0.050440552,0.195091499,0.296150965,Forrest,MS,28,28035
"Hancock County, Mississippi: Summary level: 050, state:28> county:045",19519,0.670372458,0.070751575,0.139044008,0.281366873,Hancock,MS,28,28045
"Lafayette County, Mississippi: Summary level: 050, state:28> county:071",19317,0.589636072,0.031526635,0.132991665,0.288243516,Lafayette,MS,28,28071
"Issaquena County, Mississippi: Summary level: 050, state:28> county:055",484,0.578512397,0.030991736,0.132231405,0.365702479,Issaquena,MS,28,28055
"Lowndes County, Mississippi: Summary level: 050, state:28> county:087",22742,0.664365491,0.045202709,0.172456248,0.293993492,Lowndes,MS,28,28087
"Leflore County, Mississippi: Summary level: 050, state:28> county:083",10224,0.611893584,0.037754304,0.281103286,0.367077465,Leflore,MS,28,28083
"Wilkinson County, Mississippi: Summary level: 050, state:28> county:157",2898,0.603864734,0.026915114,0.249137336,0.380952381,Wilkinson,MS,28,28157
"Harrison County, Mississippi: Summary level: 050, state:28> county:047",78863,0.650850209,0.052737025,0.175608333,0.288132584,Harrison,MS,28,28047
"Jefferson Davis County, Mississippi: Summary level: 050, state:28> county:065",4839,0.622649308,0.045257285,0.194255011,0.345525935,Jefferson Davis,MS,28,28065
"Lincoln County, Mississippi: Summary level: 050, state:28> county:085",12827,0.69634365,0.055196071,0.163951041,0.277149762,Lincoln,MS,28,28085
"Scott County, Mississippi: Summary level: 050, state:28> county:123",10435,0.693531385,0.067752755,0.207283182,0.280210829,Scott,MS,28,28123
"Winston County, Mississippi: Summary level: 050, state:28> county:159",7396,0.673607355,0.04259059,0.194159005,0.297322877,Winston,MS,28,28159
"Yazoo County, Mississippi: Summary level: 050, state:28> county:163",8689,0.638968811,0.044539072,0.267349522,0.328000921,Yazoo,MS,28,28163
"Benton County, Mississippi: Summary level: 050, state:28> county:009",3033,0.663039894,0.061655127,0.139136169,0.321793604,Benton,MS,28,28009
"Franklin County, Mississippi: Summary level: 050, state:28> county:037",3004,0.735685752,0.076231691,0.152130493,0.246338216,Franklin,MS,28,28037
"Jasper County, Mississippi: Summary level: 050, state:28> county:061",6690,0.724813154,0.063976084,0.219581465,0.269207773,Jasper,MS,28,28061
