,total_household_income,household_income_less_than_25_years,household_income_25_to_45_years,household_income_45_to_65_years,household_income_65_and_older,county,state,state_FIPS,county_fips
"Washington County, Mississippi: Summary level: 050, state:28> county:151",30834,15813,27344,37984,27796,Washington,MS,28,28151
"Perry County, Mississippi: Summary level: 050, state:28> county:111",39007,65074,47688,41629,29310,Perry,MS,28,28111
"Choctaw County, Mississippi: Summary level: 050, state:28> county:019",37203,28750,34568,50021,28108,Choctaw,MS,28,28019
"Itawamba County, Mississippi: Summary level: 050, state:28> county:057",40510,32331,49229,48967,28502,Itawamba,MS,28,28057
"Carroll County, Mississippi: Summary level: 050, state:28> county:015",43060,25781,52481,57727,31944,Carroll,MS,28,28015
"Grenada County, Mississippi: Summary level: 050, state:28> county:043",36877,-666666666,35573,47339,33822,Grenada,MS,28,28043
"Jefferson County, Mississippi: Summary level: 050, state:28> county:063",20188,-666666666,18454,21376,23194,Jefferson,MS,28,28063
"Greene County, Mississippi: Summary level: 050, state:28> county:041",49447,-666666666,66382,52077,26524,Greene,MS,28,28041
"Marshall County, Mississippi: Summary level: 050, state:28> county:093",41572,18587,42642,50210,34403,Marshall,MS,28,28093
"Quitman County, Mississippi: Summary level: 050, state:28> county:119",25510,75227,25500,23842,25435,Quitman,MS,28,28119
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",29912,13342,31457,31972,27810,Bolivar,MS,28,28011
"Lamar County, Mississippi: Summary level: 050, state:28> county:073",58188,25893,60445,69952,44824,Lamar,MS,28,28073
"Lee County, Mississippi: Summary level: 050, state:28> county:081",47978,27254,56053,51254,34801,Lee,MS,28,28081
"Pike County, Mississippi: Summary level: 050, state:28> county:113",30910,-666666666,30760,32619,29621,Pike,MS,28,28113
"Tallahatchie County, Mississippi: Summary level: 050, state:28> county:135",30028,-666666666,31753,34286,25977,Tallahatchie,MS,28,28135
"Smith County, Mississippi: Summary level: 050, state:28> county:129",41657,26155,53419,51406,25707,Smith,MS,28,28129
"Stone County, Mississippi: Summary level: 050, state:28> county:131",44883,26156,43535,53615,34605,Stone,MS,28,28131
"Warren County, Mississippi: Summary level: 050, state:28> county:149",43039,15742,49667,44110,40097,Warren,MS,28,28149
"Clarke County, Mississippi: Summary level: 050, state:28> county:023",39246,25542,65409,38200,29435,Clarke,MS,28,28023
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",28176,-666666666,30672,34534,24669,Kemper,MS,28,28069
"Montgomery County, Mississippi: Summary level: 050, state:28> county:097",33667,28724,40192,46090,27577,Montgomery,MS,28,28097
"Oktibbeha County, Mississippi: Summary level: 050, state:28> county:105",38800,10341,40621,57868,51753,Oktibbeha,MS,28,28105
"Pearl River County, Mississippi: Summary level: 050, state:28> county:109",45820,-666666666,63181,50611,35469,Pearl River,MS,28,28109
"Leake County, Mississippi: Summary level: 050, state:28> county:079",33482,41399,46556,33787,24974,Leake,MS,28,28079
"Noxubee County, Mississippi: Summary level: 050, state:28> county:103",36000,27639,44632,38914,25803,Noxubee,MS,28,28103
"Neshoba County, Mississippi: Summary level: 050, state:28> county:099",36875,19125,43988,40011,27286,Neshoba,MS,28,28099
"Rankin County, Mississippi: Summary level: 050, state:28> county:121",64557,38929,70261,73922,45350,Rankin,MS,28,28121
"Tate County, Mississippi: Summary level: 050, state:28> county:137",51056,66758,36098,70117,38654,Tate,MS,28,28137
"Lawrence County, Mississippi: Summary level: 050, state:28> county:077",42290,26417,53004,52011,32071,Lawrence,MS,28,28077
"Panola County, Mississippi: Summary level: 050, state:28> county:107",36563,23176,44206,35157,33190,Panola,MS,28,28107
"Yalobusha County, Mississippi: Summary level: 050, state:28> county:161",41864,32467,50556,44600,33750,Yalobusha,MS,28,28161
"Chickasaw County, Mississippi: Summary level: 050, state:28> county:017",35939,19054,40476,38219,32027,Chickasaw,MS,28,28017
"Copiah County, Mississippi: Summary level: 050, state:28> county:029",40361,62656,40040,43810,33356,Copiah,MS,28,28029
"George County, Mississippi: Summary level: 050, state:28> county:039",48319,57750,56824,57219,27533,George,MS,28,28039
"Hinds County, Mississippi: Summary level: 050, state:28> county:049",43005,19262,41735,51381,39227,Hinds,MS,28,28049
