,drive_alone_to_work,carpool_to_work,public_transit_to_work,bus_trolley_to_work,walked_to_work,cab_other_means_of_transportation_to_work,county,state,state_FIPS,county_fips
"Washington County, Mississippi: Summary level: 050, state:28> county:151",14542,1726,6,0,219,147,Washington,MS,28,28151
"Perry County, Mississippi: Summary level: 050, state:28> county:111",3853,204,0,0,79,265,Perry,MS,28,28111
"Choctaw County, Mississippi: Summary level: 050, state:28> county:019",2558,255,9,9,32,73,Choctaw,MS,28,28019
"Itawamba County, Mississippi: Summary level: 050, state:28> county:057",7695,1116,17,17,69,135,Itawamba,MS,28,28057
"Carroll County, Mississippi: Summary level: 050, state:28> county:015",3066,197,0,0,49,0,Carroll,MS,28,28015
"Grenada County, Mississippi: Summary level: 050, state:28> county:043",6946,738,23,23,146,187,Grenada,MS,28,28043
"Jefferson County, Mississippi: Summary level: 050, state:28> county:063",1685,53,0,0,35,18,Jefferson,MS,28,28063
"Greene County, Mississippi: Summary level: 050, state:28> county:041",3110,453,0,0,22,159,Greene,MS,28,28041
"Marshall County, Mississippi: Summary level: 050, state:28> county:093",11989,705,64,53,199,150,Marshall,MS,28,28093
"Quitman County, Mississippi: Summary level: 050, state:28> county:119",1874,225,0,0,59,16,Quitman,MS,28,28119
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",8835,1006,14,14,291,142,Bolivar,MS,28,28011
"Lamar County, Mississippi: Summary level: 050, state:28> county:073",23769,1711,25,25,270,1388,Lamar,MS,28,28073
"Lee County, Mississippi: Summary level: 050, state:28> county:081",33144,2974,96,96,336,319,Lee,MS,28,28081
"Pike County, Mississippi: Summary level: 050, state:28> county:113",11954,862,55,55,190,438,Pike,MS,28,28113
"Tallahatchie County, Mississippi: Summary level: 050, state:28> county:135",3113,353,0,0,138,8,Tallahatchie,MS,28,28135
"Smith County, Mississippi: Summary level: 050, state:28> county:129",5577,341,50,50,78,166,Smith,MS,28,28129
"Stone County, Mississippi: Summary level: 050, state:28> county:131",6093,957,19,19,155,449,Stone,MS,28,28131
"Warren County, Mississippi: Summary level: 050, state:28> county:149",16755,1726,37,37,179,220,Warren,MS,28,28149
"Clarke County, Mississippi: Summary level: 050, state:28> county:023",5290,604,0,0,42,134,Clarke,MS,28,28023
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",2841,356,0,0,66,124,Kemper,MS,28,28069
"Montgomery County, Mississippi: Summary level: 050, state:28> county:097",3341,294,0,0,0,71,Montgomery,MS,28,28097
"Oktibbeha County, Mississippi: Summary level: 050, state:28> county:105",16537,2107,128,128,422,202,Oktibbeha,MS,28,28105
"Pearl River County, Mississippi: Summary level: 050, state:28> county:109",16976,2874,1,1,258,326,Pearl River,MS,28,28109
"Leake County, Mississippi: Summary level: 050, state:28> county:079",6598,1218,20,20,172,76,Leake,MS,28,28079
"Noxubee County, Mississippi: Summary level: 050, state:28> county:103",3126,610,0,0,0,45,Noxubee,MS,28,28103
"Neshoba County, Mississippi: Summary level: 050, state:28> county:099",8669,2070,35,35,262,329,Neshoba,MS,28,28099
"Rankin County, Mississippi: Summary level: 050, state:28> county:121",63805,6273,6,6,346,566,Rankin,MS,28,28121
"Tate County, Mississippi: Summary level: 050, state:28> county:137",10276,938,4,4,138,152,Tate,MS,28,28137
"Lawrence County, Mississippi: Summary level: 050, state:28> county:077",4073,232,30,0,61,46,Lawrence,MS,28,28077
"Panola County, Mississippi: Summary level: 050, state:28> county:107",10869,997,8,8,94,24,Panola,MS,28,28107
"Yalobusha County, Mississippi: Summary level: 050, state:28> county:161",4799,508,10,10,26,22,Yalobusha,MS,28,28161
"Chickasaw County, Mississippi: Summary level: 050, state:28> county:017",5625,764,0,0,55,68,Chickasaw,MS,28,28017
"Copiah County, Mississippi: Summary level: 050, state:28> county:029",8727,1102,9,9,169,59,Copiah,MS,28,28029
"George County, Mississippi: Summary level: 050, state:28> county:039",6095,1247,88,88,73,185,George,MS,28,28039
"Hinds County, Mississippi: Summary level: 050, state:28> county:049",87900,10211,561,561,1658,806,Hinds,MS,28,28049
"Newton County, Mississippi: Summary level: 050, state:28> county:101",6570,1078,29,29,82,213,Newton,MS,28,28101
"Union County, Mississippi: Summary level: 050, state:28> county:145",10495,1176,0,0,108,30,Union,MS,28,28145
"Sharkey County, Mississippi: Summary level: 050, state:28> county:125",1195,226,21,21,22,4,Sharkey,MS,28,28125
"Tippah County, Mississippi: Summary level: 050, state:28> county:139",7366,902,2,2,99,61,Tippah,MS,28,28139
"Forrest County, Mississippi: Summary level: 050, state:28> county:035",25683,2549,155,155,759,2301,Forrest,MS,28,28035
"Hancock County, Mississippi: Summary level: 050, state:28> county:045",16173,1609,50,50,157,375,Hancock,MS,28,28045
"Lafayette County, Mississippi: Summary level: 050, state:28> county:071",19459,2466,157,157,592,402,Lafayette,MS,28,28071
"Issaquena County, Mississippi: Summary level: 050, state:28> county:055",325,5,1,1,16,0,Issaquena,MS,28,28055
"Lowndes County, Mississippi: Summary level: 050, state:28> county:087",21881,1501,4,4,177,363,Lowndes,MS,28,28087
"Leflore County, Mississippi: Summary level: 050, state:28> county:083",7873,707,73,73,135,19,Leflore,MS,28,28083
"Wilkinson County, Mississippi: Summary level: 050, state:28> county:157",2163,135,5,5,31,0,Wilkinson,MS,28,28157
"Harrison County, Mississippi: Summary level: 050, state:28> county:047",73836,7405,349,322,3809,1081,Harrison,MS,28,28047
"Jefferson Davis County, Mississippi: Summary level: 050, state:28> county:065",3632,311,49,49,87,16,Jefferson Davis,MS,28,28065
"Lincoln County, Mississippi: Summary level: 050, state:28> county:085",11479,583,75,26,65,177,Lincoln,MS,28,28085
"Scott County, Mississippi: Summary level: 050, state:28> county:123",8507,2093,93,93,61,93,Scott,MS,28,28123
"Winston County, Mississippi: Summary level: 050, state:28> county:159",5512,1131,19,3,141,168,Winston,MS,28,28159
"Yazoo County, Mississippi: Summary level: 050, state:28> county:163",6335,1250,0,0,67,94,Yazoo,MS,28,28163
