,%_households_with_earnings_last12,%_households_with_no_earnings_last12,county,state,state_FIPS,county_fips
"Washington County, Mississippi: Summary level: 050, state:28> county:151",0.670473796,0.329526204,Washington,MS,28,28151
"Perry County, Mississippi: Summary level: 050, state:28> county:111",0.6846373,0.3153627,Perry,MS,28,28111
"Choctaw County, Mississippi: Summary level: 050, state:28> county:019",0.586599241,0.413400759,Choctaw,MS,28,28019
"Itawamba County, Mississippi: Summary level: 050, state:28> county:057",0.678612451,0.321387549,Itawamba,MS,28,28057
"Carroll County, Mississippi: Summary level: 050, state:28> county:015",0.651175506,0.348824494,Carroll,MS,28,28015
"Grenada County, Mississippi: Summary level: 050, state:28> county:043",0.697349222,0.302650778,Grenada,MS,28,28043
"Jefferson County, Mississippi: Summary level: 050, state:28> county:063",0.577470356,0.422529644,Jefferson,MS,28,28063
"Greene County, Mississippi: Summary level: 050, state:28> county:041",0.712607862,0.287392138,Greene,MS,28,28041
"Marshall County, Mississippi: Summary level: 050, state:28> county:093",0.730304421,0.269695579,Marshall,MS,28,28093
"Quitman County, Mississippi: Summary level: 050, state:28> county:119",0.596726678,0.403273322,Quitman,MS,28,28119
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",0.628258903,0.371741097,Bolivar,MS,28,28011
"Lamar County, Mississippi: Summary level: 050, state:28> county:073",0.795435106,0.204564894,Lamar,MS,28,28073
"Lee County, Mississippi: Summary level: 050, state:28> county:081",0.759103728,0.240896272,Lee,MS,28,28081
"Pike County, Mississippi: Summary level: 050, state:28> county:113",0.618969747,0.381030253,Pike,MS,28,28113
"Tallahatchie County, Mississippi: Summary level: 050, state:28> county:135",0.608276511,0.391723489,Tallahatchie,MS,28,28135
"Smith County, Mississippi: Summary level: 050, state:28> county:129",0.680517711,0.319482289,Smith,MS,28,28129
"Stone County, Mississippi: Summary level: 050, state:28> county:131",0.708394458,0.291605542,Stone,MS,28,28131
"Warren County, Mississippi: Summary level: 050, state:28> county:149",0.703559629,0.296440371,Warren,MS,28,28149
"Clarke County, Mississippi: Summary level: 050, state:28> county:023",0.63662512,0.36337488,Clarke,MS,28,28023
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",0.636927224,0.363072776,Kemper,MS,28,28069
"Montgomery County, Mississippi: Summary level: 050, state:28> county:097",0.61701667,0.38298333,Montgomery,MS,28,28097
"Oktibbeha County, Mississippi: Summary level: 050, state:28> county:105",0.754961271,0.245038729,Oktibbeha,MS,28,28105
"Pearl River County, Mississippi: Summary level: 050, state:28> county:109",0.691403238,0.308596762,Pearl River,MS,28,28109
"Leake County, Mississippi: Summary level: 050, state:28> county:079",0.68927522,0.31072478,Leake,MS,28,28079
"Noxubee County, Mississippi: Summary level: 050, state:28> county:103",0.666169154,0.333830846,Noxubee,MS,28,28103
"Neshoba County, Mississippi: Summary level: 050, state:28> county:099",0.717824096,0.282175904,Neshoba,MS,28,28099
"Rankin County, Mississippi: Summary level: 050, state:28> county:121",0.803129778,0.196870222,Rankin,MS,28,28121
"Tate County, Mississippi: Summary level: 050, state:28> county:137",0.749902572,0.250097428,Tate,MS,28,28137
"Lawrence County, Mississippi: Summary level: 050, state:28> county:077",0.664719382,0.335280618,Lawrence,MS,28,28077
"Panola County, Mississippi: Summary level: 050, state:28> county:107",0.666666667,0.333333333,Panola,MS,28,28107
"Yalobusha County, Mississippi: Summary level: 050, state:28> county:161",0.689982562,0.310017438,Yalobusha,MS,28,28161
"Chickasaw County, Mississippi: Summary level: 050, state:28> county:017",0.652505447,0.347494553,Chickasaw,MS,28,28017
"Copiah County, Mississippi: Summary level: 050, state:28> county:029",0.673698431,0.326301569,Copiah,MS,28,28029
"George County, Mississippi: Summary level: 050, state:28> county:039",0.668024993,0.331975007,George,MS,28,28039
"Hinds County, Mississippi: Summary level: 050, state:28> county:049",0.772831295,0.227168705,Hinds,MS,28,28049
"Newton County, Mississippi: Summary level: 050, state:28> county:101",0.6850286,0.3149714,Newton,MS,28,28101
"Union County, Mississippi: Summary level: 050, state:28> county:145",0.721937494,0.278062506,Union,MS,28,28145
"Sharkey County, Mississippi: Summary level: 050, state:28> county:125",0.663247863,0.336752137,Sharkey,MS,28,28125
"Tippah County, Mississippi: Summary level: 050, state:28> county:139",0.68595766,0.31404234,Tippah,MS,28,28139
"Forrest County, Mississippi: Summary level: 050, state:28> county:035",0.747547533,0.252452467,Forrest,MS,28,28035
"Hancock County, Mississippi: Summary level: 050, state:28> county:045",0.674727189,0.325272811,Hancock,MS,28,28045
"Lafayette County, Mississippi: Summary level: 050, state:28> county:071",0.783765595,0.216234405,Lafayette,MS,28,28071
"Issaquena County, Mississippi: Summary level: 050, state:28> county:055",0.595041322,0.404958678,Issaquena,MS,28,28055
"Lowndes County, Mississippi: Summary level: 050, state:28> county:087",0.722891566,0.277108434,Lowndes,MS,28,28087
"Leflore County, Mississippi: Summary level: 050, state:28> county:083",0.577269171,0.422730829,Leflore,MS,28,28083
"Wilkinson County, Mississippi: Summary level: 050, state:28> county:157",0.589717046,0.410282954,Wilkinson,MS,28,28157
"Harrison County, Mississippi: Summary level: 050, state:28> county:047",0.750402597,0.249597403,Harrison,MS,28,28047
"Jefferson Davis County, Mississippi: Summary level: 050, state:28> county:065",0.62616243,0.37383757,Jefferson Davis,MS,28,28065
"Lincoln County, Mississippi: Summary level: 050, state:28> county:085",0.682856475,0.317143525,Lincoln,MS,28,28085
"Scott County, Mississippi: Summary level: 050, state:28> county:123",0.702731193,0.297268807,Scott,MS,28,28123
"Winston County, Mississippi: Summary level: 050, state:28> county:159",0.675094646,0.324905354,Winston,MS,28,28159
"Yazoo County, Mississippi: Summary level: 050, state:28> county:163",0.624697894,0.375302106,Yazoo,MS,28,28163
"Benton County, Mississippi: Summary level: 050, state:28> county:009",0.640619848,0.359380152,Benton,MS,28,28009
"Franklin County, Mississippi: Summary level: 050, state:28> county:037",0.653129161,0.346870839,Franklin,MS,28,28037
"Jasper County, Mississippi: Summary level: 050, state:28> county:061",0.663079223,0.336920777,Jasper,MS,28,28061
"Jones County, Mississippi: Summary level: 050, state:28> county:067",0.721401469,0.278598531,Jones,MS,28,28067
"Monroe County, Mississippi: Summary level: 050, state:28> county:095",0.658192694,0.341807306,Monroe,MS,28,28095
"Sunflower County, Mississippi: Summary level: 050, state:28> county:133",0.673143402,0.326856598,Sunflower,MS,28,28133
"Webster County, Mississippi: Summary level: 050, state:28> county:155",0.673092157,0.326907843,Webster,MS,28,28155
"Adams County, Mississippi: Summary level: 050, state:28> county:001",0.641918702,0.358081298,Adams,MS,28,28001
"Clay County, Mississippi: Summary level: 050, state:28> county:025",0.675564152,0.324435848,Clay,MS,28,28025
"Covington County, Mississippi: Summary level: 050, state:28> county:031",0.698263173,0.301736827,Covington,MS,28,28031
"Humphreys County, Mississippi: Summary level: 050, state:28> county:053",0.656890571,0.343109429,Humphreys,MS,28,28053
"Saline County, Missouri: Summary level: 050, state:29> county:195",0.737794908,0.262205092,Saline,MO,29,29195
"Madison County, Missouri: Summary level: 050, state:29> county:123",0.682327069,0.317672931,Madison,MO,29,29123
"Wright County, Missouri: Summary level: 050, state:29> county:229",0.640153593,0.359846407,Wright,MO,29,29229
"Vernon County, Missouri: Summary level: 050, state:29> county:217",0.738310894,0.261689106,Vernon,MO,29,29217
"Nodaway County, Missouri: Summary level: 050, state:29> county:147",0.795045317,0.204954683,Nodaway,MO,29,29147
"Chariton County, Missouri: Summary level: 050, state:29> county:041",0.698092839,0.301907161,Chariton,MO,29,29041
"Grundy County, Missouri: Summary level: 050, state:29> county:079",0.703387704,0.296612296,Grundy,MO,29,29079
