,%_in_poverty,%_in_poverty_18_to_59,%_in_poverty_60_to_74,%_in_poverty_75_to_85,county,state,state_FIPS,county_fips
"Washington County, Mississippi: Summary level: 050, state:28> county:151",0.333046768,0.164223693,0.032969395,0.007543845,Washington,MS,28,28151
"Perry County, Mississippi: Summary level: 050, state:28> county:111",0.187242971,0.084179606,0.030633655,0.009819555,Perry,MS,28,28111
"Choctaw County, Mississippi: Summary level: 050, state:28> county:019",0.232856438,0.10902812,0.02627035,0.012210163,Choctaw,MS,28,28019
"Itawamba County, Mississippi: Summary level: 050, state:28> county:057",0.153584229,0.085080645,0.015277778,0.008154122,Itawamba,MS,28,28057
"Carroll County, Mississippi: Summary level: 050, state:28> county:015",0.14824852,0.07307036,0.03211884,0.003312255,Carroll,MS,28,28015
"Grenada County, Mississippi: Summary level: 050, state:28> county:043",0.244947064,0.118719923,0.021366699,0.005004812,Grenada,MS,28,28043
"Jefferson County, Mississippi: Summary level: 050, state:28> county:063",0.497235962,0.24629037,0.060226942,0.023130637,Jefferson,MS,28,28063
"Greene County, Mississippi: Summary level: 050, state:28> county:041",0.145120031,0.085792995,0.011019284,0.000688705,Greene,MS,28,28041
"Marshall County, Mississippi: Summary level: 050, state:28> county:093",0.182970745,0.085652213,0.023898098,0.004255826,Marshall,MS,28,28093
"Quitman County, Mississippi: Summary level: 050, state:28> county:119",0.354618809,0.158458542,0.044657763,0.011825264,Quitman,MS,28,28119
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",0.345702495,0.187181636,0.028918692,0.005867561,Bolivar,MS,28,28011
"Lamar County, Mississippi: Summary level: 050, state:28> county:073",0.165445595,0.099458338,0.012331451,0.003078747,Lamar,MS,28,28073
"Lee County, Mississippi: Summary level: 050, state:28> county:081",0.158599357,0.081831536,0.014199897,0.004156068,Lee,MS,28,28081
"Pike County, Mississippi: Summary level: 050, state:28> county:113",0.338420015,0.159062597,0.041497976,0.007604069,Pike,MS,28,28113
"Tallahatchie County, Mississippi: Summary level: 050, state:28> county:135",0.305849125,0.135659621,0.035440962,0.014668367,Tallahatchie,MS,28,28135
"Smith County, Mississippi: Summary level: 050, state:28> county:129",0.169303202,0.081481481,0.015128688,0.009290647,Smith,MS,28,28129
"Stone County, Mississippi: Summary level: 050, state:28> county:131",0.170699989,0.083342757,0.023804139,0.002600927,Stone,MS,28,28131
"Warren County, Mississippi: Summary level: 050, state:28> county:149",0.206162971,0.106433729,0.02183256,0.004620079,Warren,MS,28,28149
"Clarke County, Mississippi: Summary level: 050, state:28> county:023",0.192683236,0.083248795,0.030687294,0.007988841,Clarke,MS,28,28023
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",0.299576685,0.164550092,0.032671225,0.005318572,Kemper,MS,28,28069
"Montgomery County, Mississippi: Summary level: 050, state:28> county:097",0.27326969,0.108392999,0.036694511,0.010540971,Montgomery,MS,28,28097
"Oktibbeha County, Mississippi: Summary level: 050, state:28> county:105",0.300492388,0.23560103,0.013167999,0.004517324,Oktibbeha,MS,28,28105
"Pearl River County, Mississippi: Summary level: 050, state:28> county:109",0.161298158,0.081928926,0.021523859,0.006726206,Pearl River,MS,28,28109
"Leake County, Mississippi: Summary level: 050, state:28> county:079",0.259250882,0.118519859,0.023568262,0.011851986,Leake,MS,28,28079
"Noxubee County, Mississippi: Summary level: 050, state:28> county:103",0.294635254,0.145614533,0.039360394,0.00851547,Noxubee,MS,28,28103
"Neshoba County, Mississippi: Summary level: 050, state:28> county:099",0.236562121,0.12361809,0.01583781,0.007139144,Neshoba,MS,28,28099
"Rankin County, Mississippi: Summary level: 050, state:28> county:121",0.082091243,0.046678796,0.009385191,0.004057533,Rankin,MS,28,28121
"Tate County, Mississippi: Summary level: 050, state:28> county:137",0.196608373,0.094859565,0.019532137,0.005072299,Tate,MS,28,28137
"Lawrence County, Mississippi: Summary level: 050, state:28> county:077",0.193875932,0.094002856,0.023480882,0.004521656,Lawrence,MS,28,28077
"Panola County, Mississippi: Summary level: 050, state:28> county:107",0.20903556,0.107532574,0.019206447,0.004735433,Panola,MS,28,28107
