,population,%_white,%_black,$_other_race,county,state,state_FIPS,county_fips
"Washington County, Mississippi: Summary level: 050, state:28> county:151",47086,0.256912883,0.721700718,0.021386399,Washington,MS,28,28151
"Perry County, Mississippi: Summary level: 050, state:28> county:111",12028,0.787745261,0.196873961,0.015380778,Perry,MS,28,28111
"Choctaw County, Mississippi: Summary level: 050, state:28> county:019",8321,0.676721548,0.311981733,0.011296719,Choctaw,MS,28,28019
"Itawamba County, Mississippi: Summary level: 050, state:28> county:057",23480,0.90911414,0.071592845,0.019293015,Itawamba,MS,28,28057
"Carroll County, Mississippi: Summary level: 050, state:28> county:015",10129,0.643992497,0.345838681,0.010168822,Carroll,MS,28,28015
"Grenada County, Mississippi: Summary level: 050, state:28> county:043",21278,0.551555597,0.434157346,0.014287057,Grenada,MS,28,28043
"Jefferson County, Mississippi: Summary level: 050, state:28> county:063",7346,0.133269807,0.858970868,0.007759325,Jefferson,MS,28,28063
"Greene County, Mississippi: Summary level: 050, state:28> county:041",13714,0.73311944,0.254921978,0.011958582,Greene,MS,28,28041
"Marshall County, Mississippi: Summary level: 050, state:28> county:093",35787,0.493391455,0.47877721,0.027831335,Marshall,MS,28,28093
"Quitman County, Mississippi: Summary level: 050, state:28> county:119",7372,0.274959305,0.716494845,0.008545849,Quitman,MS,28,28119
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",32592,0.331461708,0.642519637,0.026018655,Bolivar,MS,28,28011
"Lamar County, Mississippi: Summary level: 050, state:28> county:073",61223,0.763814253,0.199924865,0.036260882,Lamar,MS,28,28073
"Lee County, Mississippi: Summary level: 050, state:28> county:081",84915,0.675722782,0.29032562,0.033951599,Lee,MS,28,28081
"Pike County, Mississippi: Summary level: 050, state:28> county:113",39737,0.445302866,0.535093238,0.019603896,Pike,MS,28,28113
"Tallahatchie County, Mississippi: Summary level: 050, state:28> county:135",14361,0.353875078,0.493628577,0.152496344,Tallahatchie,MS,28,28135
"Smith County, Mississippi: Summary level: 050, state:28> county:129",16063,0.758388844,0.230716554,0.010894603,Smith,MS,28,28129
"Stone County, Mississippi: Summary level: 050, state:28> county:131",18375,0.782204082,0.192870748,0.02492517,Stone,MS,28,28131
"Warren County, Mississippi: Summary level: 050, state:28> county:149",47075,0.48558683,0.491513542,0.022899628,Warren,MS,28,28149
"Clarke County, Mississippi: Summary level: 050, state:28> county:023",15928,0.634919638,0.357609242,0.00747112,Clarke,MS,28,28023
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",10107,0.353319482,0.609082814,0.037597705,Kemper,MS,28,28069
"Montgomery County, Mississippi: Summary level: 050, state:28> county:097",10198,0.529319474,0.434202785,0.036477741,Montgomery,MS,28,28097
"Oktibbeha County, Mississippi: Summary level: 050, state:28> county:105",49481,0.57674663,0.370728158,0.052525212,Oktibbeha,MS,28,28105
"Pearl River County, Mississippi: Summary level: 050, state:28> county:109",55149,0.840287222,0.127762969,0.031949809,Pearl River,MS,28,28109
"Leake County, Mississippi: Summary level: 050, state:28> county:079",22870,0.513948404,0.420113686,0.06593791,Leake,MS,28,28079
"Noxubee County, Mississippi: Summary level: 050, state:28> county:103",10828,0.271518286,0.722201699,0.006280015,Noxubee,MS,28,28103
"Neshoba County, Mississippi: Summary level: 050, state:28> county:099",29376,0.601613562,0.210920479,0.187465959,Neshoba,MS,28,28099
"Rankin County, Mississippi: Summary level: 050, state:28> county:121",151240,0.760466808,0.204992066,0.034541127,Rankin,MS,28,28121
"Tate County, Mississippi: Summary level: 050, state:28> county:137",28493,0.663601586,0.293124627,0.043273787,Tate,MS,28,28137
"Lawrence County, Mississippi: Summary level: 050, state:28> county:077",12630,0.65391924,0.331987332,0.014093428,Lawrence,MS,28,28077
"Panola County, Mississippi: Summary level: 050, state:28> county:107",34243,0.486084747,0.499401337,0.014513915,Panola,MS,28,28107
"Yalobusha County, Mississippi: Summary level: 050, state:28> county:161",12421,0.581273649,0.406891555,0.011834796,Yalobusha,MS,28,28161
"Chickasaw County, Mississippi: Summary level: 050, state:28> county:017",17279,0.52450952,0.434342265,0.041148215,Chickasaw,MS,28,28017
"Copiah County, Mississippi: Summary level: 050, state:28> county:029",28721,0.454266913,0.518610076,0.027123011,Copiah,MS,28,28029
"George County, Mississippi: Summary level: 050, state:28> county:039",23710,0.89350485,0.080472375,0.026022775,George,MS,28,28039
"Hinds County, Mississippi: Summary level: 050, state:28> county:049",241774,0.256971387,0.722567356,0.020461257,Hinds,MS,28,28049
"Newton County, Mississippi: Summary level: 050, state:28> county:101",21524,0.624233414,0.302871214,0.072895373,Newton,MS,28,28101
"Union County, Mississippi: Summary level: 050, state:28> county:145",28356,0.800077585,0.147129355,0.05279306,Union,MS,28,28145
"Sharkey County, Mississippi: Summary level: 050, state:28> county:125",4511,0.250942141,0.739747284,0.009310574,Sharkey,MS,28,28125
"Tippah County, Mississippi: Summary level: 050, state:28> county:139",21990,0.786766712,0.170759436,0.042473852,Tippah,MS,28,28139
"Forrest County, Mississippi: Summary level: 050, state:28> county:035",75517,0.594581353,0.369453236,0.035965412,Forrest,MS,28,28035
"Hancock County, Mississippi: Summary level: 050, state:28> county:045",46653,0.872591259,0.080937989,0.046470752,Hancock,MS,28,28045
