,%_male,%_female,%_male_pop_greater_than_60,%_female_pop_greater_than_60,county,state,state_FIPS,county_fips
"Washington County, Mississippi: Summary level: 050, state:28> county:151",0.467612454,0.532387546,0.203106549,0.23025371,Washington,MS,28,28151
"Perry County, Mississippi: Summary level: 050, state:28> county:111",0.485949451,0.514050549,0.224807528,0.267669416,Perry,MS,28,28111
"Choctaw County, Mississippi: Summary level: 050, state:28> county:019",0.501622401,0.498377599,0.249401054,0.323848565,Choctaw,MS,28,28019
"Itawamba County, Mississippi: Summary level: 050, state:28> county:057",0.503449744,0.496550256,0.210388292,0.253280727,Itawamba,MS,28,28057
"Carroll County, Mississippi: Summary level: 050, state:28> county:015",0.505084411,0.494915589,0.266614543,0.300817874,Carroll,MS,28,28015
"Grenada County, Mississippi: Summary level: 050, state:28> county:043",0.474809663,0.525190337,0.210135603,0.244653244,Grenada,MS,28,28043
"Jefferson County, Mississippi: Summary level: 050, state:28> county:063",0.495780016,0.504219984,0.185337727,0.262688985,Jefferson,MS,28,28063
"Greene County, Mississippi: Summary level: 050, state:28> county:041",0.604783433,0.395216567,0.159392332,0.235055351,Greene,MS,28,28041
"Marshall County, Mississippi: Summary level: 050, state:28> county:093",0.495598961,0.504401039,0.200439783,0.252229793,Marshall,MS,28,28093
"Quitman County, Mississippi: Summary level: 050, state:28> county:119",0.471513836,0.528486164,0.223245109,0.252053388,Quitman,MS,28,28119
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",0.471434708,0.528565292,0.188480312,0.224066872,Bolivar,MS,28,28011
"Lamar County, Mississippi: Summary level: 050, state:28> county:073",0.477647289,0.522352711,0.172383134,0.187179487,Lamar,MS,28,28073
"Lee County, Mississippi: Summary level: 050, state:28> county:081",0.477253724,0.522746276,0.180945566,0.212057041,Lee,MS,28,28081
"Pike County, Mississippi: Summary level: 050, state:28> county:113",0.47401666,0.52598334,0.199564663,0.245825559,Pike,MS,28,28113
"Tallahatchie County, Mississippi: Summary level: 050, state:28> county:135",0.557899868,0.442100132,0.172241638,0.248543078,Tallahatchie,MS,28,28135
"Smith County, Mississippi: Summary level: 050, state:28> county:129",0.488513976,0.511486024,0.230788836,0.26630964,Smith,MS,28,28129
"Stone County, Mississippi: Summary level: 050, state:28> county:131",0.509768707,0.490231293,0.20316003,0.242562167,Stone,MS,28,28131
"Warren County, Mississippi: Summary level: 050, state:28> county:149",0.476431227,0.523568773,0.227661851,0.231590052,Warren,MS,28,28149
"Clarke County, Mississippi: Summary level: 050, state:28> county:023",0.467290306,0.532709694,0.25916969,0.267884502,Clarke,MS,28,28023
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",0.511526665,0.488473335,0.193810445,0.272230099,Kemper,MS,28,28069
"Montgomery County, Mississippi: Summary level: 050, state:28> county:097",0.467640714,0.532359286,0.266303208,0.28624056,Montgomery,MS,28,28097
"Oktibbeha County, Mississippi: Summary level: 050, state:28> county:105",0.502475698,0.497524302,0.13413506,0.175075148,Oktibbeha,MS,28,28105
