,number_in_workforce,%_workers_less_than_15_to_work,%_workers_15_to_45_to_work,%_workers_greater_than_45_to_work,county,state,state_FIPS,county_fips
"Washington County, Mississippi: Summary level: 050, state:28> county:151",16640,0.506310096,0.443449519,0.050240385,Washington,MS,28,28151
"Perry County, Mississippi: Summary level: 050, state:28> county:111",4401,0.24471711,0.520563508,0.234719382,Perry,MS,28,28111
"Choctaw County, Mississippi: Summary level: 050, state:28> county:019",2927,0.263067988,0.476597198,0.260334814,Choctaw,MS,28,28019
"Itawamba County, Mississippi: Summary level: 050, state:28> county:057",9032,0.232838795,0.67925155,0.087909655,Itawamba,MS,28,28057
"Carroll County, Mississippi: Summary level: 050, state:28> county:015",3312,0.162137681,0.689009662,0.148852657,Carroll,MS,28,28015
"Grenada County, Mississippi: Summary level: 050, state:28> county:043",8040,0.595024876,0.29738806,0.107587065,Grenada,MS,28,28043
"Jefferson County, Mississippi: Summary level: 050, state:28> county:063",1791,0.333333333,0.542155221,0.124511446,Jefferson,MS,28,28063
"Greene County, Mississippi: Summary level: 050, state:28> county:041",3744,0.217681624,0.482104701,0.300213675,Greene,MS,28,28041
"Marshall County, Mississippi: Summary level: 050, state:28> county:093",13107,0.160677501,0.639124132,0.200198367,Marshall,MS,28,28093
"Quitman County, Mississippi: Summary level: 050, state:28> county:119",2174,0.291628335,0.457221711,0.251149954,Quitman,MS,28,28119
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",10288,0.525758165,0.382192846,0.092048989,Bolivar,MS,28,28011
"Lamar County, Mississippi: Summary level: 050, state:28> county:073",27163,0.316791223,0.563892059,0.119316718,Lamar,MS,28,28073
"Lee County, Mississippi: Summary level: 050, state:28> county:081",36869,0.310938729,0.622419919,0.066641352,Lee,MS,28,28081
"Pike County, Mississippi: Summary level: 050, state:28> county:113",13499,0.388399141,0.468182828,0.143418031,Pike,MS,28,28113
"Tallahatchie County, Mississippi: Summary level: 050, state:28> county:135",3612,0.317552602,0.554817276,0.127630122,Tallahatchie,MS,28,28135
"Smith County, Mississippi: Summary level: 050, state:28> county:129",6212,0.226658081,0.500804894,0.272537025,Smith,MS,28,28129
"Stone County, Mississippi: Summary level: 050, state:28> county:131",7673,0.256614101,0.449498241,0.293887658,Stone,MS,28,28131
"Warren County, Mississippi: Summary level: 050, state:28> county:149",18917,0.465084316,0.456362002,0.078553682,Warren,MS,28,28149
"Clarke County, Mississippi: Summary level: 050, state:28> county:023",6070,0.234925865,0.592586491,0.172487644,Clarke,MS,28,28023
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",3387,0.221139652,0.532329495,0.246530853,Kemper,MS,28,28069
"Montgomery County, Mississippi: Summary level: 050, state:28> county:097",3706,0.298165138,0.548030221,0.153804641,Montgomery,MS,28,28097
"Oktibbeha County, Mississippi: Summary level: 050, state:28> county:105",19396,0.500567127,0.430140235,0.069292638,Oktibbeha,MS,28,28105
"Pearl River County, Mississippi: Summary level: 050, state:28> county:109",20435,0.245461218,0.43317837,0.321360411,Pearl River,MS,28,28109
"Leake County, Mississippi: Summary level: 050, state:28> county:079",8084,0.265957447,0.483547749,0.250494805,Leake,MS,28,28079
"Noxubee County, Mississippi: Summary level: 050, state:28> county:103",3781,0.358106321,0.447236181,0.194657498,Noxubee,MS,28,28103
"Neshoba County, Mississippi: Summary level: 050, state:28> county:099",11365,0.401759789,0.419973603,0.178266608,Neshoba,MS,28,28099
"Rankin County, Mississippi: Summary level: 050, state:28> county:121",70996,0.191151614,0.700363401,0.108484985,Rankin,MS,28,28121
"Tate County, Mississippi: Summary level: 050, state:28> county:137",11508,0.240093848,0.43317692,0.326729232,Tate,MS,28,28137
"Lawrence County, Mississippi: Summary level: 050, state:28> county:077",4442,0.221972085,0.477037371,0.300990545,Lawrence,MS,28,28077
"Panola County, Mississippi: Summary level: 050, state:28> county:107",11992,0.250250167,0.589893262,0.159856571,Panola,MS,28,28107
"Yalobusha County, Mississippi: Summary level: 050, state:28> county:161",5365,0.348182665,0.502329916,0.149487418,Yalobusha,MS,28,28161
"Chickasaw County, Mississippi: Summary level: 050, state:28> county:017",6512,0.318949631,0.542997543,0.138052826,Chickasaw,MS,28,28017
"Copiah County, Mississippi: Summary level: 050, state:28> county:029",10066,0.182594874,0.537254123,0.280151003,Copiah,MS,28,28029
"George County, Mississippi: Summary level: 050, state:28> county:039",7688,0.234001041,0.347424558,0.418574402,George,MS,28,28039
"Hinds County, Mississippi: Summary level: 050, state:28> county:049",101136,0.225073169,0.699444313,0.075482519,Hinds,MS,28,28049
"Newton County, Mississippi: Summary level: 050, state:28> county:101",7972,0.2734571,0.533366784,0.193176116,Newton,MS,28,28101
"Union County, Mississippi: Summary level: 050, state:28> county:145",11809,0.31120332,0.58861885,0.10017783,Union,MS,28,28145
"Sharkey County, Mississippi: Summary level: 050, state:28> county:125",1468,0.5,0.305177112,0.194822888,Sharkey,MS,28,28125
"Tippah County, Mississippi: Summary level: 050, state:28> county:139",8430,0.324317912,0.510794781,0.164887307,Tippah,MS,28,28139
"Forrest County, Mississippi: Summary level: 050, state:28> county:035",31447,0.432505485,0.49791713,0.069577384,Forrest,MS,28,28035
"Hancock County, Mississippi: Summary level: 050, state:28> county:045",18364,0.257678066,0.5610978,0.181224134,Hancock,MS,28,28045
"Lafayette County, Mississippi: Summary level: 050, state:28> county:071",23076,0.495796499,0.413156526,0.091046975,Lafayette,MS,28,28071
"Issaquena County, Mississippi: Summary level: 050, state:28> county:055",347,0.550432277,0.265129683,0.18443804,Issaquena,MS,28,28055
"Lowndes County, Mississippi: Summary level: 050, state:28> county:087",23926,0.344144445,0.586265987,0.069589568,Lowndes,MS,28,28087
"Leflore County, Mississippi: Summary level: 050, state:28> county:083",8807,0.633586919,0.308391053,0.058022028,Leflore,MS,28,28083
"Wilkinson County, Mississippi: Summary level: 050, state:28> county:157",2334,0.384318766,0.287489289,0.328191945,Wilkinson,MS,28,28157
"Harrison County, Mississippi: Summary level: 050, state:28> county:047",86480,0.298253932,0.603353377,0.098392692,Harrison,MS,28,28047
"Jefferson Davis County, Mississippi: Summary level: 050, state:28> county:065",4095,0.178510379,0.507936508,0.313553114,Jefferson Davis,MS,28,28065
"Lincoln County, Mississippi: Summary level: 050, state:28> county:085",12379,0.311172146,0.496647548,0.192180305,Lincoln,MS,28,28085
"Scott County, Mississippi: Summary level: 050, state:28> county:123",10847,0.347745921,0.429058726,0.223195354,Scott,MS,28,28123
"Winston County, Mississippi: Summary level: 050, state:28> county:159",6971,0.311002726,0.49648544,0.192511835,Winston,MS,28,28159
"Yazoo County, Mississippi: Summary level: 050, state:28> county:163",7746,0.371030209,0.410921766,0.218048025,Yazoo,MS,28,28163
"Benton County, Mississippi: Summary level: 050, state:28> county:009",2823,0.156216791,0.579171095,0.264612115,Benton,MS,28,28009
"Franklin County, Mississippi: Summary level: 050, state:28> county:037",2579,0.290810392,0.476541295,0.232648313,Franklin,MS,28,28037
"Jasper County, Mississippi: Summary level: 050, state:28> county:061",6188,0.164673562,0.585164835,0.250161603,Jasper,MS,28,28061
"Jones County, Mississippi: Summary level: 050, state:28> county:067",27134,0.249981573,0.673804083,0.076214344,Jones,MS,28,28067
"Monroe County, Mississippi: Summary level: 050, state:28> county:095",13585,0.281486934,0.567611336,0.15090173,Monroe,MS,28,28095
"Sunflower County, Mississippi: Summary level: 050, state:28> county:133",7907,0.475022132,0.439357531,0.085620336,Sunflower,MS,28,28133
"Webster County, Mississippi: Summary level: 050, state:28> county:155",3608,0.28131929,0.536031042,0.182649667,Webster,MS,28,28155
"Adams County, Mississippi: Summary level: 050, state:28> county:001",9883,0.537792168,0.371951836,0.090255995,Adams,MS,28,28001
"Clay County, Mississippi: Summary level: 050, state:28> county:025",7211,0.363888504,0.543059215,0.093052281,Clay,MS,28,28025
"Covington County, Mississippi: Summary level: 050, state:28> county:031",7128,0.225869809,0.640852974,0.133277217,Covington,MS,28,28031
"Humphreys County, Mississippi: Summary level: 050, state:28> county:053",2725,0.433027523,0.412110092,0.154862385,Humphreys,MS,28,28053
"Saline County, Missouri: Summary level: 050, state:29> county:195",9951,0.573208723,0.34860818,0.078183097,Saline,MO,29,29195
"Madison County, Missouri: Summary level: 050, state:29> county:123",4821,0.391205144,0.431445758,0.177349098,Madison,MO,29,29123
"Wright County, Missouri: Summary level: 050, state:29> county:229",6147,0.286318529,0.475516512,0.238164959,Wright,MO,29,29229
"Vernon County, Missouri: Summary level: 050, state:29> county:217",8238,0.530104394,0.412842923,0.057052683,Vernon,MO,29,29217
"Nodaway County, Missouri: Summary level: 050, state:29> county:147",10376,0.59155744,0.321896685,0.086545875,Nodaway,MO,29,29147
"Chariton County, Missouri: Summary level: 050, state:29> county:041",2895,0.405181347,0.458031088,0.136787565,Chariton,MO,29,29041
"Grundy County, Missouri: Summary level: 050, state:29> county:079",4265,0.568815944,0.347948417,0.083235639,Grundy,MO,29,29079
"Morgan County, Missouri: Summary level: 050, state:29> county:141",6788,0.343252799,0.497053624,0.159693577,Morgan,MO,29,29141
"Wayne County, Missouri: Summary level: 050, state:29> county:223",3824,0.364539749,0.41291841,0.222541841,Wayne,MO,29,29223
"Bollinger County, Missouri: Summary level: 050, state:29> county:017",4510,0.249223947,0.472062084,0.278713969,Bollinger,MO,29,29017
